City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,san antonio,29.4241,-98.4936,26.06,91,75,4.63,US,1692749562
218,bathsheba,13.2167,-59.5167,28.34,89,20,3.09,BB,1692750054
219,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,94,75,3.0,RU,1692750054
220,lauro de freitas,-12.8944,-38.3272,26.01,89,20,4.63,BR,1692750027
221,polyarnyy,69.1989,33.4478,8.45,87,100,0.69,RU,1692750055
222,palu,-0.8917,119.8707,26.89,83,87,0.97,ID,1692750055
223,homer,59.6425,-151.5483,19.32,77,75,3.6,US,1692750056
224,port douglas,-16.4833,145.4667,23.17,68,62,4.79,AU,1692750056
225,dawesville,30.9224,-84.0091,33.53,57,0,1.54,US,1692750056
226,malango,-2.9627,119.9001,21.55,88,93,0.74,ID,1692750057
227,cody,44.5263,-109.0565,27.57,46,0,2.06,US,1692749770
228,tamanrasset,22.785,5.5228,27.95,28,40,4.12,DZ,1692750057
229,ujae,8.9322,165.7642,28.91,73,95,6.12,MH,1692750057
230,khorixas,-20.3667,14.9667,13.95,40,15,1.15,NA,1692749770
231,prado,-17.3411,-39.2208,23.9,89,9,5.25,BR,1692749770
232,la passe,45.5549,-0.8967,27.13,61,13,2.98,FR,1692750057
233,lagos,6.5833,3.75,26.18,94,88,2.45,NG,1692749532
234,georgetown,5.4112,100.3354,27.75,91,20,1.03,MY,1692749867
235,jieshi,22.8134,115.8257,28.55,80,63,1.51,CN,1692749771
236,gamba,-2.65,10.0,22.81,88,85,3.27,GA,1692750058
237,sinabang,2.4803,96.3801,26.38,81,55,2.11,ID,1692750058
238,puerto deseado,-47.7503,-65.8938,4.26,83,52,3.88,AR,1692750058
239,nizhniy kuranakh,58.8353,125.4869,13.56,67,62,1.75,RU,1692750059
240,shimokizukuri,40.8061,140.3861,34.18,64,3,0.84,JP,1692750059
241,badger,64.8,-147.5333,16.14,78,100,1.54,US,1692750059
242,coahuayana de hidalgo,18.7,-103.6583,29.91,73,32,2.05,MX,1692750059
243,ebon,4.582,168.6964,28.86,70,82,4.57,MH,1692750060
244,daytona beach,29.2108,-81.0228,29.05,79,20,2.68,US,1692749773
245,santa isabel,-23.3156,-46.2214,24.42,39,0,1.7,BR,1692750060
246,ponta pora,-22.5361,-55.7256,24.05,48,5,3.78,BR,1692750060
247,hamilton,39.1834,-84.5333,29.32,60,0,4.12,US,1692749650
248,laojunmiao,39.8333,97.7333,17.35,31,25,1.68,CN,1692750060
249,wanning,18.8003,110.3967,27.74,82,100,2.45,CN,1692749774
250,shingu,33.7333,135.9833,27.18,91,53,3.25,JP,1692750061
251,vernon,50.2581,-119.2691,24.96,58,97,6.17,CA,1692749829
252,skagen,57.7209,10.5839,16.01,92,45,6.18,DK,1692750061
253,askiz,53.1319,90.5264,15.93,80,79,2.04,RU,1692750061
254,twon-brass,4.3151,6.2418,25.52,88,97,4.67,NG,1692750061
255,sawakin,19.1059,37.3321,35.05,46,64,2.68,SD,1692750062
256,nar'yan-mar,67.6713,53.087,6.94,95,86,4.71,RU,1692750062
257,westport,41.1415,-73.3579,23.21,68,37,0.45,US,1692750062
258,kayyerkan,69.3786,87.7439,11.28,100,93,3.08,RU,1692750062
259,sandnessjoen,66.0217,12.6316,11.29,95,79,2.15,NO,1692750063
